ID_Engajamento,ID_Cliente,Data_Engajamento,Tipo_Engajamento,Rede_Social
109,23878,2024-05-06,comentario,Twitter
110,238463,2021-11-14,curtida,Instagram
111,20190,2022-12-30,compartilhamento,Twitter
112,151199,2022-09-27,curtida,Instagram
113,28261,2023-11-22,compartilhamento,Twitter
114,273238,2023-12-25,compartilhamento,Instagram
115,235934,2024-03-09,curtida,Instagram
116,260488,2023-12-21,compartilhamento,Twitter
117,236406,2024-01-03,curtida,Twitter
118,21534,2024-06-07,curtida,Facebook
119,66754,2022-11-01,compartilhamento,Twitter
120,86369,2023-07-17,compartilhamento,Instagram
121,297451,2022-12-05,curtida,Instagram
122,78145,2024-03-23,comentario,Instagram
123,98731,2024-01-27,comentario,Facebook
124,233841,2024-02-08,comentario,Twitter
125,41767,2023-12-30,curtida,Twitter
126,79349,2024-06-08,compartilhamento,Facebook
127,18541,2023-11-03,comentario,Instagram
128,110827,2023-04-09,compartilhamento,Twitter
129,230935,2022-11-09,compartilhamento,Facebook
130,270067,2024-06-14,comentario,Instagram
131,78262,2024-04-19,compartilhamento,Instagram
132,249978,2023-01-03,compartilhamento,Twitter
133,220333,2023-04-15,curtida,Twitter
134,288772,2022-12-18,compartilhamento,Facebook
135,102011,2024-05-06,curtida,Instagram
136,152218,2023-08-02,compartilhamento,Facebook
137,157109,2022-07-25,comentario,Twitter
138,96219,2024-03-20,comentario,Instagram
139,297196,2024-04-08,comentario,Facebook
140,46055,2023-06-11,curtida,Twitter
141,43635,2023-10-31,compartilhamento,Facebook
142,27401,2023-07-19,compartilhamento,Twitter
143,108927,2024-01-19,comentario,Instagram
144,181831,2023-08-29,curtida,Facebook
145,174844,2024-05-07,comentario,Twitter
146,276336,2024-04-23,curtida,Instagram
147,143998,2023-08-29,curtida,Instagram
148,143479,2023-12-27,curtida,Facebook
149,107732,2024-01-20,curtida,Facebook
150,111103,2023-09-20,compartilhamento,Instagram
151,182802,2022-09-20,compartilhamento,Facebook
152,291358,2022-11-10,comentario,Twitter
153,229043,2024-02-14,comentario,Twitter
154,109826,2024-04-06,compartilhamento,Twitter
155,24944,2024-05-07,comentario,Twitter
156,95071,2024-05-28,curtida,Twitter
157,76010,2021-12-29,curtida,Twitter
158,38288,2023-06-09,comentario,Instagram
159,43824,2023-06-07,curtida,Facebook
160,230675,2024-03-11,comentario,Instagram
161,175297,2022-01-18,compartilhamento,Instagram
162,299158,2024-03-10,comentario,Facebook
163,170255,2024-06-09,comentario,Instagram
164,272371,2022-11-05,compartilhamento,Instagram
165,207256,2023-10-27,curtida,Twitter
166,101706,2024-02-02,curtida,Facebook
167,264615,2023-12-18,curtida,Twitter
168,21084,2023-09-21,comentario,Facebook
169,208998,2023-10-23,comentario,Facebook
170,32038,2024-01-09,curtida,Twitter
171,7616,2024-05-04,comentario,Twitter
172,115292,2024-06-13,comentario,Twitter
173,92591,2024-02-09,comentario,Instagram
174,67018,2023-06-07,compartilhamento,Facebook
175,192838,2022-09-29,curtida,Instagram
176,295329,2024-02-20,comentario,Twitter
177,267739,2023-05-01,curtida,Twitter
178,223217,2024-05-26,comentario,Facebook
179,130598,2022-10-30,curtida,Facebook
180,94677,2023-08-16,comentario,Facebook
181,135192,2022-12-17,compartilhamento,Twitter
182,82420,2024-02-16,comentario,Twitter
183,2697,2023-05-02,comentario,Twitter
184,67955,2023-10-15,curtida,Twitter
185,106409,2024-04-24,compartilhamento,Facebook
186,246525,2023-08-31,compartilhamento,Twitter
187,97623,2023-12-01,compartilhamento,Facebook
188,130687,2024-02-16,compartilhamento,Facebook
189,186104,2023-03-09,curtida,Instagram
190,255826,2024-02-21,comentario,Twitter
191,117311,2023-12-10,compartilhamento,Instagram
192,66115,2022-05-02,curtida,Instagram
193,133369,2024-05-26,curtida,Twitter
194,143680,2024-05-04,curtida,Twitter
195,133905,2023-09-23,comentario,Instagram
196,97922,2024-02-06,curtida,Twitter
197,132981,2023-04-12,compartilhamento,Instagram
198,3481,2024-05-03,compartilhamento,Instagram
199,184563,2022-07-13,compartilhamento,Instagram
200,218315,2023-01-11,curtida,Facebook
201,224934,2024-05-08,comentario,Instagram
202,208359,2023-06-30,compartilhamento,Instagram
203,24355,2021-10-13,compartilhamento,Twitter
204,129765,2022-04-11,comentario,Twitter
205,191081,2024-05-03,comentario,Twitter
206,195732,2024-03-17,curtida,Facebook
207,102348,2024-05-15,compartilhamento,Instagram
208,70981,2024-04-26,curtida,Twitter
209,172592,2023-09-20,comentario,Instagram
210,282767,2023-12-19,compartilhamento,Facebook
211,279492,2024-06-15,compartilhamento,Instagram
212,133843,2022-11-16,curtida,Instagram
213,239963,2024-04-20,compartilhamento,Instagram
214,133674,2023-07-22,comentario,Twitter
215,205508,2024-05-03,compartilhamento,Twitter
216,26639,2023-01-07,compartilhamento,Facebook
217,237598,2023-10-11,comentario,Instagram
218,144988,2024-05-15,comentario,Twitter
219,43466,2022-08-29,compartilhamento,Instagram
220,97776,2023-04-29,curtida,Instagram
221,75473,2022-12-31,compartilhamento,Facebook
222,277526,2023-04-05,compartilhamento,Instagram
223,145254,2023-05-11,curtida,Facebook
224,88089,2024-06-15,compartilhamento,Twitter
225,277165,2024-04-13,curtida,Facebook
226,296984,2024-05-11,comentario,Twitter
227,30929,2024-04-04,compartilhamento,Instagram
228,25919,2023-09-26,curtida,Twitter
229,293414,2024-02-08,comentario,Instagram
230,30805,2024-06-04,comentario,Facebook
231,58353,2024-02-22,curtida,Instagram
232,168044,2023-09-11,compartilhamento,Twitter
233,67002,2023-12-11,compartilhamento,Twitter
234,247350,2024-06-13,compartilhamento,Instagram
235,55173,2022-12-09,compartilhamento,Twitter
236,172695,2022-07-21,comentario,Twitter
237,243215,2022-06-26,curtida,Twitter
238,199269,2021-10-29,compartilhamento,Twitter
239,11455,2023-11-02,compartilhamento,Facebook
240,299146,2023-08-03,comentario,Twitter
241,140291,2023-04-04,comentario,Instagram
242,192157,2022-06-22,compartilhamento,Twitter
243,291318,2024-06-01,curtida,Facebook
244,99353,2023-09-26,comentario,Facebook
245,47984,2024-05-26,curtida,Facebook
246,63345,2022-04-21,curtida,Instagram
247,281277,2024-05-24,comentario,Facebook
248,45273,2024-06-11,curtida,Instagram
249,148548,2022-10-06,comentario,Twitter
250,130873,2023-10-06,compartilhamento,Instagram
251,286844,2023-03-21,curtida,Instagram
252,219557,2024-04-28,curtida,Twitter
253,294277,2024-04-17,curtida,Instagram
254,259078,2022-07-28,curtida,Twitter
255,122133,2024-05-30,comentario,Twitter
256,297027,2023-04-12,curtida,Facebook
257,136749,2023-08-31,compartilhamento,Instagram
258,108132,2024-04-24,curtida,Twitter
259,227206,2024-05-29,comentario,Instagram
260,100160,2022-11-19,comentario,Twitter
261,235373,2023-12-13,curtida,Twitter
262,218412,2023-02-17,compartilhamento,Instagram
263,281251,2023-03-15,comentario,Facebook
264,19132,2023-03-07,compartilhamento,Twitter
265,186072,2024-05-05,comentario,Instagram
266,158401,2022-08-23,compartilhamento,Twitter
267,143215,2024-01-10,comentario,Instagram
268,90938,2022-03-18,curtida,Twitter
269,68809,2023-08-25,comentario,Instagram
270,148634,2023-08-02,curtida,Twitter
271,42889,2023-07-22,comentario,Twitter
272,195160,2023-10-28,curtida,Twitter
273,236613,2023-07-15,compartilhamento,Facebook
274,72726,2024-03-13,comentario,Facebook
275,80364,2024-04-10,compartilhamento,Instagram
276,167412,2024-05-03,compartilhamento,Facebook
277,215155,2022-07-04,comentario,Twitter
278,193590,2024-01-23,comentario,Instagram
279,39061,2023-11-08,comentario,Instagram
280,112158,2024-06-15,curtida,Instagram
281,189566,2024-05-30,curtida,Twitter
282,205554,2024-01-04,comentario,Instagram
283,28581,2023-03-24,compartilhamento,Twitter
284,148255,2023-02-13,comentario,Facebook
285,1890,2023-10-16,comentario,Facebook
286,141780,2024-02-11,curtida,Facebook
287,105044,2022-10-01,curtida,Instagram
288,56684,2024-06-15,comentario,Twitter
289,109302,2022-12-09,compartilhamento,Facebook
290,50789,2024-06-08,curtida,Instagram
291,184397,2024-05-16,comentario,Twitter
292,48962,2022-09-03,compartilhamento,Twitter
293,63943,2024-06-12,curtida,Facebook
294,211440,2023-01-08,compartilhamento,Instagram
295,131782,2023-12-21,compartilhamento,Facebook
296,75357,2024-06-04,comentario,Facebook
297,201776,2024-05-26,comentario,Instagram
298,217540,2024-01-02,curtida,Twitter
299,3432,2022-04-03,compartilhamento,Instagram
300,6014,2023-06-25,curtida,Twitter
301,1577,2022-12-24,comentario,Instagram
302,113131,2024-05-18,compartilhamento,Facebook
303,107224,2023-09-07,comentario,Instagram
304,173187,2022-05-22,compartilhamento,Instagram
305,264124,2024-05-16,comentario,Facebook
306,31182,2023-11-08,comentario,Twitter
307,257435,2024-05-10,compartilhamento,Facebook
308,50698,2023-10-12,curtida,Instagram
309,189996,2024-05-09,comentario,Instagram
310,194158,2023-09-05,curtida,Instagram
311,262927,2022-08-30,comentario,Facebook
312,243710,2024-04-22,compartilhamento,Facebook
313,30945,2023-11-05,curtida,Facebook
314,134771,2023-12-17,curtida,Instagram
315,182523,2022-08-24,curtida,Twitter
316,234642,2024-01-17,compartilhamento,Instagram
317,7449,2023-09-11,curtida,Facebook
318,136835,2024-04-10,comentario,Facebook
319,47786,2023-05-11,curtida,Facebook
320,166136,2022-09-28,comentario,Facebook
321,28144,2023-02-09,comentario,Instagram
322,127592,2024-04-04,comentario,Instagram
323,47927,2022-09-04,curtida,Instagram
324,165582,2023-06-21,comentario,Instagram
325,208461,2024-02-25,compartilhamento,Facebook
326,149178,2023-09-22,compartilhamento,Facebook
327,237142,2023-07-27,compartilhamento,Facebook
328,160579,2024-01-30,comentario,Twitter
329,5333,2022-04-20,compartilhamento,Twitter
330,233844,2024-04-06,compartilhamento,Twitter
331,16345,2022-12-31,comentario,Twitter
332,175342,2022-11-04,compartilhamento,Instagram
333,293581,2022-06-24,comentario,Facebook
334,242990,2023-06-23,curtida,Facebook
335,115129,2024-04-19,compartilhamento,Instagram
336,151529,2024-05-04,compartilhamento,Twitter
337,43220,2024-01-28,curtida,Instagram
338,102160,2024-02-13,comentario,Twitter
339,1285,2023-12-01,compartilhamento,Facebook
340,20305,2023-11-18,compartilhamento,Instagram
341,123819,2023-01-10,compartilhamento,Twitter
342,68528,2024-04-17,compartilhamento,Twitter
343,93716,2024-03-23,curtida,Twitter
344,106483,2022-12-11,curtida,Instagram
345,295248,2022-09-16,curtida,Twitter
346,226202,2022-02-18,compartilhamento,Instagram
347,296241,2024-01-29,comentario,Facebook
348,82430,2024-05-03,compartilhamento,Instagram
349,120288,2024-06-08,curtida,Instagram
350,72417,2023-11-09,comentario,Twitter
351,47793,2023-10-25,curtida,Twitter
352,215148,2024-04-29,compartilhamento,Instagram
353,78886,2024-01-01,comentario,Facebook
354,190397,2024-04-10,compartilhamento,Twitter
355,88508,2024-03-03,curtida,Instagram
356,153271,2021-12-22,curtida,Instagram
357,97543,2023-04-17,comentario,Facebook
358,87849,2023-11-03,compartilhamento,Instagram
359,228125,2023-04-07,curtida,Facebook
360,8196,2023-12-04,comentario,Twitter
361,142623,2022-03-09,compartilhamento,Facebook
362,233233,2024-04-01,curtida,Instagram
363,62435,2022-11-15,compartilhamento,Instagram
364,43648,2024-04-07,curtida,Twitter
365,217575,2022-11-12,curtida,Instagram
366,142853,2023-12-29,compartilhamento,Instagram
367,128021,2024-02-14,curtida,Instagram
368,287351,2023-09-23,compartilhamento,Instagram
369,70704,2024-03-15,comentario,Twitter
370,188710,2024-04-17,compartilhamento,Instagram
371,206793,2024-05-27,compartilhamento,Facebook
372,121403,2024-05-23,curtida,Instagram
373,14894,2023-05-05,comentario,Instagram
374,36116,2023-04-29,curtida,Facebook
375,256392,2023-05-04,curtida,Twitter
376,161255,2023-11-08,curtida,Instagram
377,95577,2022-02-13,compartilhamento,Facebook
378,241370,2022-10-08,comentario,Instagram
379,104402,2023-08-24,curtida,Instagram
380,202991,2022-09-12,curtida,Facebook
381,128553,2023-07-11,curtida,Facebook
382,277419,2024-03-19,comentario,Facebook
383,86971,2023-01-26,compartilhamento,Twitter
384,146651,2024-05-22,curtida,Twitter
385,34047,2023-05-18,curtida,Facebook
386,20965,2024-03-30,compartilhamento,Facebook
387,76244,2023-01-20,comentario,Facebook
388,196469,2024-05-08,compartilhamento,Facebook
389,50563,2023-11-20,compartilhamento,Instagram
390,258339,2022-06-05,curtida,Instagram
391,69034,2024-03-01,compartilhamento,Twitter
392,29136,2023-12-01,curtida,Facebook
393,38366,2023-09-04,curtida,Twitter
394,161865,2024-06-05,comentario,Facebook
395,29481,2023-05-23,curtida,Facebook
396,30343,2023-03-08,curtida,Instagram
397,232374,2024-06-05,compartilhamento,Facebook
398,159774,2023-06-02,curtida,Facebook
399,54550,2024-06-03,curtida,Twitter
400,287331,2022-08-23,comentario,Twitter
401,143612,2024-04-09,comentario,Facebook
402,91347,2024-03-22,compartilhamento,Twitter
403,66796,2023-12-16,compartilhamento,Twitter
404,241286,2023-05-25,curtida,Twitter
405,62156,2023-11-12,comentario,Twitter
406,257860,2021-11-03,comentario,Facebook
407,20791,2022-10-09,curtida,Twitter
408,34891,2022-05-24,curtida,Twitter
409,72958,2023-07-09,curtida,Facebook
410,227761,2023-09-06,curtida,Facebook
411,281527,2023-10-07,curtida,Instagram
412,297176,2024-01-22,comentario,Twitter
413,11017,2023-09-17,compartilhamento,Twitter
414,167286,2023-10-02,comentario,Facebook
415,23656,2023-09-12,comentario,Twitter
416,172814,2024-03-13,curtida,Twitter
417,209006,2023-06-14,compartilhamento,Twitter
418,125050,2023-04-07,compartilhamento,Twitter
419,201268,2023-02-12,compartilhamento,Facebook
420,53000,2024-06-10,comentario,Instagram
421,137411,2024-01-11,comentario,Instagram
422,279319,2024-03-27,compartilhamento,Instagram
423,200908,2022-06-05,curtida,Facebook
424,4035,2024-05-31,compartilhamento,Facebook
425,204492,2022-12-27,comentario,Twitter
426,264589,2023-03-21,compartilhamento,Twitter
427,249777,2024-04-11,curtida,Instagram
428,247112,2024-01-24,comentario,Facebook
429,27709,2021-11-07,compartilhamento,Twitter
430,95915,2024-04-29,compartilhamento,Instagram
431,70764,2024-01-02,curtida,Twitter
432,5567,2022-02-25,curtida,Facebook
433,255845,2024-03-28,comentario,Twitter
434,254034,2024-01-05,compartilhamento,Twitter
435,1826,2024-01-23,curtida,Twitter
436,43339,2023-12-19,compartilhamento,Facebook
437,254648,2023-05-01,curtida,Facebook
438,270202,2024-03-06,curtida,Facebook
439,16134,2023-11-20,curtida,Twitter
440,189938,2024-05-24,curtida,Instagram
441,186066,2023-05-14,curtida,Facebook
442,125306,2023-08-21,compartilhamento,Instagram
443,264240,2024-01-13,curtida,Twitter
444,141819,2024-06-07,comentario,Twitter
445,185265,2024-04-27,curtida,Facebook
446,140067,2023-06-06,compartilhamento,Instagram
447,89868,2024-01-07,compartilhamento,Twitter
448,170069,2024-03-29,compartilhamento,Instagram
449,135394,2024-03-02,curtida,Instagram
450,151718,2022-09-22,compartilhamento,Instagram
451,112105,2024-01-05,compartilhamento,Facebook
452,251958,2023-06-25,compartilhamento,Twitter
453,134872,2024-03-25,compartilhamento,Instagram
454,154402,2024-06-10,comentario,Facebook
455,274194,2024-02-24,comentario,Twitter
456,228849,2022-10-19,comentario,Twitter
457,42770,2024-06-06,compartilhamento,Facebook
458,40958,2023-10-15,curtida,Instagram
459,120832,2024-03-28,compartilhamento,Instagram
460,41625,2024-05-11,compartilhamento,Instagram
461,40342,2024-02-12,comentario,Twitter
462,77565,2024-06-02,compartilhamento,Twitter
463,86713,2024-03-17,curtida,Twitter
464,297559,2023-06-03,curtida,Twitter
465,241000,2024-05-20,curtida,Facebook
466,105733,2024-06-08,comentario,Instagram
467,50340,2024-04-23,curtida,Twitter
468,290496,2024-04-28,comentario,Instagram
469,145005,2024-05-26,curtida,Facebook
470,145358,2023-09-05,curtida,Twitter
471,73373,2024-03-31,comentario,Instagram
472,83639,2023-01-14,comentario,Facebook
473,200595,2024-03-03,compartilhamento,Facebook
474,162543,2023-09-01,compartilhamento,Twitter
475,253845,2021-11-20,comentario,Twitter
476,203628,2023-08-25,comentario,Twitter
477,215880,2022-04-02,curtida,Twitter
478,261618,2024-06-12,compartilhamento,Facebook
479,66886,2024-06-03,curtida,Facebook
480,297481,2024-06-03,comentario,Facebook
481,173799,2023-04-27,curtida,Instagram
482,112365,2023-07-24,compartilhamento,Twitter
483,221255,2022-10-16,comentario,Facebook
484,218492,2023-07-11,comentario,Facebook
485,104416,2022-12-08,compartilhamento,Facebook
486,267395,2024-05-22,compartilhamento,Instagram
487,185109,2024-05-26,compartilhamento,Instagram
488,261396,2024-01-02,comentario,Facebook
489,285013,2023-06-22,compartilhamento,Instagram
490,110688,2023-11-26,curtida,Twitter
491,118137,2024-05-03,comentario,Facebook
492,124649,2024-02-07,curtida,Twitter
493,188671,2023-12-29,compartilhamento,Twitter
494,208595,2023-01-28,compartilhamento,Twitter
495,144724,2023-10-01,compartilhamento,Instagram
496,288188,2024-04-15,curtida,Facebook
497,101313,2024-01-14,compartilhamento,Instagram
498,6985,2022-06-16,comentario,Instagram
499,203667,2024-06-07,comentario,Twitter
500,84009,2023-11-06,comentario,Instagram
501,118597,2023-10-14,comentario,Instagram
502,94504,2023-10-18,compartilhamento,Instagram
503,211609,2022-09-13,compartilhamento,Twitter
504,60668,2024-05-30,compartilhamento,Twitter
505,230035,2024-06-01,comentario,Facebook
506,188264,2023-07-02,comentario,Facebook
507,193837,2023-12-30,comentario,Facebook
508,83436,2023-11-08,compartilhamento,Facebook
509,155235,2023-06-17,comentario,Instagram
510,76394,2024-04-18,curtida,Facebook
511,256889,2024-05-30,compartilhamento,Facebook
512,82027,2024-01-01,comentario,Twitter
513,166687,2024-03-04,comentario,Instagram
514,11132,2024-01-11,compartilhamento,Instagram
515,149542,2023-12-23,compartilhamento,Facebook
516,140302,2023-09-04,compartilhamento,Instagram
517,257993,2024-05-07,curtida,Instagram
518,143008,2023-09-30,comentario,Twitter
519,63827,2024-02-11,comentario,Instagram
520,66320,2021-12-24,curtida,Instagram
521,27094,2023-10-08,compartilhamento,Instagram
522,165227,2023-07-16,curtida,Instagram
523,285898,2024-02-14,curtida,Twitter
524,207442,2022-05-25,comentario,Facebook
525,93113,2021-09-10,compartilhamento,Twitter
526,97987,2024-04-12,compartilhamento,Facebook
527,101898,2023-03-08,comentario,Facebook
528,27045,2023-10-03,comentario,Twitter
529,41431,2024-05-12,compartilhamento,Facebook
530,220824,2024-06-13,compartilhamento,Instagram
531,229809,2023-04-28,comentario,Twitter
532,274462,2024-01-22,compartilhamento,Facebook
533,3794,2022-07-21,curtida,Facebook
534,210922,2023-05-31,comentario,Instagram
535,266673,2022-03-02,curtida,Facebook
536,80363,2023-06-24,comentario,Twitter
537,193544,2024-01-19,compartilhamento,Instagram
538,219940,2022-11-15,compartilhamento,Facebook
539,74542,2022-10-28,curtida,Facebook
540,251014,2022-06-25,comentario,Twitter
541,165931,2023-12-12,curtida,Instagram
542,91469,2023-02-09,curtida,Facebook
543,298169,2024-06-14,compartilhamento,Twitter
544,81842,2022-01-15,compartilhamento,Twitter
545,208568,2024-03-01,compartilhamento,Facebook
546,118251,2023-02-03,compartilhamento,Twitter
547,125901,2023-10-18,compartilhamento,Twitter
548,147897,2024-04-13,curtida,Facebook
549,212157,2024-05-18,comentario,Facebook
550,229740,2023-08-09,comentario,Twitter
551,148488,2024-06-01,compartilhamento,Facebook
552,235347,2023-08-29,curtida,Facebook
553,55746,2022-01-08,compartilhamento,Instagram
554,165759,2023-08-09,curtida,Facebook
555,238643,2023-07-16,comentario,Instagram
556,123576,2022-02-26,compartilhamento,Twitter
557,165473,2024-05-03,compartilhamento,Instagram
558,45046,2022-03-04,comentario,Facebook
559,234147,2023-04-06,comentario,Facebook
560,76922,2023-10-26,comentario,Twitter
561,291946,2024-02-05,curtida,Twitter
562,31966,2022-11-28,comentario,Twitter
563,172754,2024-05-16,comentario,Facebook
564,78206,2024-06-10,compartilhamento,Twitter
565,237422,2024-02-09,comentario,Twitter
566,137915,2023-10-29,compartilhamento,Twitter
567,156127,2024-05-12,compartilhamento,Instagram
568,74203,2023-12-01,compartilhamento,Twitter
569,58738,2024-05-22,comentario,Instagram
570,256516,2021-11-16,curtida,Twitter
571,237616,2024-02-13,compartilhamento,Facebook
572,46802,2024-05-27,comentario,Instagram
573,82881,2024-03-18,compartilhamento,Twitter
574,37216,2024-04-02,curtida,Facebook
575,209362,2023-07-17,comentario,Instagram
576,100429,2024-02-20,comentario,Instagram
577,71430,2023-04-13,curtida,Facebook
578,275325,2024-03-01,comentario,Facebook
579,224302,2021-09-09,comentario,Instagram
580,264396,2023-08-12,curtida,Twitter
581,150261,2024-04-25,curtida,Facebook
582,191562,2024-05-25,compartilhamento,Facebook
583,155816,2023-10-23,curtida,Twitter
584,193776,2024-01-03,comentario,Instagram
585,165810,2022-12-05,comentario,Instagram
586,67753,2024-05-01,curtida,Twitter
587,249785,2022-01-24,compartilhamento,Facebook
588,254717,2024-04-29,comentario,Twitter
589,243300,2021-12-05,comentario,Facebook
590,229504,2023-10-12,compartilhamento,Twitter
591,32040,2024-02-25,compartilhamento,Twitter
592,49366,2024-06-09,comentario,Instagram
593,98940,2024-05-14,compartilhamento,Instagram
594,165260,2024-06-02,curtida,Twitter
595,28968,2024-04-17,compartilhamento,Facebook
596,140109,2022-11-18,comentario,Instagram
597,71819,2023-07-30,compartilhamento,Facebook
598,272376,2023-01-15,compartilhamento,Instagram
599,113598,2024-03-14,compartilhamento,Twitter
600,91700,2024-02-05,curtida,Facebook
601,260304,2024-02-09,compartilhamento,Facebook
602,95667,2023-05-25,curtida,Twitter
603,198156,2023-03-22,curtida,Twitter
604,30089,2023-12-11,curtida,Twitter
605,118274,2024-03-11,comentario,Facebook
606,280787,2023-11-18,compartilhamento,Facebook
607,224061,2024-06-08,curtida,Twitter
608,283514,2024-05-31,comentario,Twitter
609,137099,2024-04-30,curtida,Facebook
610,116083,2023-07-12,comentario,Facebook
611,263433,2024-04-02,compartilhamento,Facebook
612,58184,2023-03-13,curtida,Facebook
613,173132,2024-04-25,comentario,Instagram
614,214197,2023-07-10,compartilhamento,Facebook
615,176451,2024-06-10,compartilhamento,Twitter
616,194394,2024-02-07,comentario,Instagram
617,161559,2023-09-30,curtida,Instagram
618,102420,2022-06-18,curtida,Instagram
619,281166,2024-04-03,curtida,Twitter
620,89439,2023-12-02,comentario,Instagram
621,98785,2023-11-19,curtida,Twitter
622,278071,2022-02-27,compartilhamento,Instagram
623,264889,2023-08-15,compartilhamento,Instagram
624,128170,2023-08-12,curtida,Instagram
625,209798,2024-04-25,comentario,Facebook
626,69995,2023-10-30,curtida,Facebook
627,162132,2023-05-19,curtida,Facebook
628,248529,2024-05-06,compartilhamento,Facebook
629,292809,2023-09-06,comentario,Twitter
630,242196,2022-11-02,compartilhamento,Facebook
631,167113,2022-11-10,comentario,Instagram
