ID_Loja,Nome_Loja,Cidade,Pais,Regiao
179,Loja 179,Tóquio,Reino Unido,Outros
180,Loja 180,Dhaka,México,Sudeste
181,Loja 181,Kinshasa,China,Outros
182,Loja 182,Santiago,Chile,Outros
183,Loja 183,Jacarta,França,Outros
184,Loja 184,Johannesburg,Peru,Outros
185,Loja 185,Tóquio,Coreia do Sul,Outros
186,Loja 186,Teerã,Portugal,Outros
187,Loja 187,Beirute,Alemanha,Outros
188,Loja 188,Kinshasa,Austrália,Outros
189,Loja 189,Jerusalém,Turquia,Outros
190,Loja 190,Tóquio,Reino Unido,Outros
191,Loja 191,Yangon,Argentina,Outros
192,Loja 192,Riyadh,Brasil,Centro-Oeste
193,Loja 193,Bangkok,Coreia do Sul,Outros
194,Loja 194,Kyoto,Portugal,Outros
195,Loja 195,Osaka,Peru,Outros
196,Loja 196,Los Angeles,México,Sul
197,Loja 197,Lima,Chile,Outros
198,Loja 198,Katmandu,Japão,Outros
199,Loja 199,Teerã,China,Outros
200,Loja 200,Jacarta,Coreia do Sul,Outros
201,Loja 201,São Paulo,Brasil,Sul
202,Loja 202,Nova York,Reino Unido,Outros
203,Loja 203,Moscou,Alemanha,Outros
204,Loja 204,Manila,Argentina,Outros
205,Loja 205,Cabul,Estados Unidos,Nordeste
206,Loja 206,Kyoto,Portugal,Outros
207,Loja 207,Mumbai,Reino Unido,Outros
208,Loja 208,Tóquio,Peru,Outros
209,Loja 209,Seul,Estados Unidos,Meio-Oeste
210,Loja 210,Berlim,Austrália,Outros
211,Loja 211,Rio de Janeiro,Portugal,Outros
212,Loja 212,Istambul,França,Outros
213,Loja 213,Istambul,Índia,Outros
214,Loja 214,Beirute,Rússia,Outros
215,Loja 215,Hong Kong,Coreia do Sul,Outros
216,Loja 216,Jacarta,Coreia do Sul,Outros
217,Loja 217,Trípoli,Portugal,Outros
218,Loja 218,Argel,Austrália,Outros
219,Loja 219,Londres,Austrália,Outros
220,Loja 220,Abu Dhabi,Canadá,Quebec
221,Loja 221,Beirute,Rússia,Outros
222,Loja 222,Los Angeles,Japão,Outros
223,Loja 223,Cairo,Argentina,Outros
224,Loja 224,Doha,Índia,Outros
225,Loja 225,Dhaka,Portugal,Outros
226,Loja 226,Istambul,Chile,Outros
227,Loja 227,Dhaka,China,Outros
228,Loja 228,Johannesburg,Canadá,Ontário
229,Loja 229,Johannesburg,Chile,Outros
230,Loja 230,Cabul,Portugal,Outros
231,Loja 231,Amã,Itália,Outros
232,Loja 232,Colombo,Portugal,Outros
233,Loja 233,Túnis,Alemanha,Outros
234,Loja 234,Beirute,Japão,Outros
235,Loja 235,Túnis,Rússia,Outros
236,Loja 236,Dubai,Austrália,Outros
237,Loja 237,Paris,Itália,Outros
238,Loja 238,Seul,Reino Unido,Outros
239,Loja 239,Bangkok,Turquia,Outros
240,Loja 240,Berlim,China,Outros
241,Loja 241,Moscou,China,Outros
242,Loja 242,Kyoto,China,Outros
243,Loja 243,Moscou,Japão,Outros
244,Loja 244,Phnom Penh,Coreia do Sul,Outros
245,Loja 245,Johannesburg,Brasil,Nordeste
246,Loja 246,Manila,Turquia,Outros
247,Loja 247,Santiago,Coreia do Sul,Outros
248,Loja 248,Roma,Portugal,Outros
249,Loja 249,Damasco,Chile,Outros
250,Loja 250,Nova Deli,México,Centro
251,Loja 251,Tóquio,Turquia,Outros
252,Loja 252,Bogotá,Canadá,Ontário
253,Loja 253,Argel,Itália,Outros
254,Loja 254,Cabul,Espanha,Outros
255,Loja 255,Beirute,Austrália,Outros
256,Loja 256,Doha,Estados Unidos,Meio-Oeste
257,Loja 257,Phnom Penh,Itália,Outros
258,Loja 258,Bagdá,Brasil,Norte
259,Loja 259,Istambul,Brasil,Sudeste
260,Loja 260,Teerã,Argentina,Outros
261,Loja 261,Túnis,Canadá,Ontário
262,Loja 262,Kinshasa,México,Centro
263,Loja 263,Dubai,Rússia,Outros
264,Loja 264,Bogotá,França,Outros
265,Loja 265,Hanói,China,Outros
266,Loja 266,Santiago,Brasil,Sudeste
267,Loja 267,Colombo,Turquia,Outros
268,Loja 268,Nova Deli,Brasil,Sul
269,Loja 269,Seul,Canadá,Colúmbia Britânica
270,Loja 270,Doha,Reino Unido,Outros
271,Loja 271,Phnom Penh,México,Sul
272,Loja 272,Taipei,Índia,Outros
273,Loja 273,Seul,Reino Unido,Outros
274,Loja 274,Nova York,Chile,Outros
275,Loja 275,Madri,Argentina,Outros
276,Loja 276,Kinshasa,Estados Unidos,Meio-Oeste
277,Loja 277,Tóquio,Turquia,Outros
278,Loja 278,Hanói,Japão,Outros
279,Loja 279,Amã,Peru,Outros
280,Loja 280,Cairo,Chile,Outros
281,Loja 281,Sydney,México,Norte
282,Loja 282,Colombo,México,Centro
283,Loja 283,Jacarta,Austrália,Outros
284,Loja 284,Cairo,Portugal,Outros
285,Loja 285,Teerã,Coreia do Sul,Outros
286,Loja 286,Jacarta,China,Outros
287,Loja 287,Nova Deli,Argentina,Outros
288,Loja 288,Tóquio,Coreia do Sul,Outros
289,Loja 289,Mumbai,Argentina,Outros
290,Loja 290,Lima,Brasil,Sul
291,Loja 291,Taipei,Portugal,Outros
292,Loja 292,Abu Dhabi,Coreia do Sul,Outros
293,Loja 293,Riyadh,Itália,Outros
294,Loja 294,Cidade do México,Portugal,Outros
295,Loja 295,Riyadh,Coreia do Sul,Outros
296,Loja 296,Buenos Aires,Argentina,Outros
297,Loja 297,Johannesburg,Rússia,Outros
298,Loja 298,Katmandu,Brasil,Norte
299,Loja 299,Jacarta,Reino Unido,Outros
300,Loja 300,Dhaka,Japão,Outros
301,Loja 301,Dubai,Estados Unidos,Meio-Oeste
302,Loja 302,Hong Kong,Índia,Outros
303,Loja 303,Santiago,Chile,Outros
304,Loja 304,Colombo,México,Sudeste
305,Loja 305,Islamabad,China,Outros
306,Loja 306,Colombo,Canadá,Alberta
307,Loja 307,Nairobi,Portugal,Outros
308,Loja 308,Kuala Lumpur,Estados Unidos,Sul
309,Loja 309,Nova York,Argentina,Outros
310,Loja 310,Cairo,Chile,Outros
311,Loja 311,Casablanca,França,Outros
312,Loja 312,Pequim,Turquia,Outros
313,Loja 313,Abu Dhabi,Estados Unidos,Nordeste
314,Loja 314,Kinshasa,Coreia do Sul,Outros
315,Loja 315,Lima,Japão,Outros
316,Loja 316,Bangkok,Peru,Outros
317,Loja 317,Tóquio,Itália,Outros
318,Loja 318,Cairo,China,Outros
319,Loja 319,Colombo,Brasil,Nordeste
320,Loja 320,Katmandu,Itália,Outros
321,Loja 321,Santiago,Espanha,Outros
322,Loja 322,Johannesburg,Espanha,Outros
323,Loja 323,Pequim,México,Centro
324,Loja 324,Los Angeles,China,Outros
325,Loja 325,Damasco,Argentina,Outros
326,Loja 326,Bagdá,China,Outros
327,Loja 327,Jerusalém,Coreia do Sul,Outros
328,Loja 328,Los Angeles,Austrália,Outros
329,Loja 329,Seul,Estados Unidos,Oeste
330,Loja 330,Seul,Rússia,Outros
331,Loja 331,Pequim,França,Outros
332,Loja 332,Dhaka,Argentina,Outros
333,Loja 333,Kyoto,Rússia,Outros
334,Loja 334,Los Angeles,Brasil,Sul
335,Loja 335,Nova Deli,França,Outros
336,Loja 336,Argel,Coreia do Sul,Outros
337,Loja 337,Berlim,Japão,Outros
338,Loja 338,Jacarta,Índia,Outros
339,Loja 339,Tóquio,Reino Unido,Outros
340,Loja 340,Manila,Reino Unido,Outros
341,Loja 341,Kinshasa,Rússia,Outros
342,Loja 342,Taipei,Canadá,Alberta
343,Loja 343,Buenos Aires,Peru,Outros
344,Loja 344,São Paulo,Rússia,Outros
345,Loja 345,Paris,Alemanha,Outros
346,Loja 346,Sydney,México,Norte
347,Loja 347,Bogotá,México,Noroeste
348,Loja 348,Abu Dhabi,Turquia,Outros
349,Loja 349,Teerã,Peru,Outros
350,Loja 350,Los Angeles,México,Norte
351,Loja 351,Lagos,França,Outros
352,Loja 352,Cingapura,Estados Unidos,Meio-Oeste
353,Loja 353,Roma,Austrália,Outros
354,Loja 354,Toronto,Itália,Outros
355,Loja 355,Trípoli,Canadá,Quebec
356,Loja 356,Dubai,Alemanha,Outros
357,Loja 357,Manila,Reino Unido,Outros
358,Loja 358,Hanói,Argentina,Outros
359,Loja 359,Buenos Aires,Austrália,Outros
360,Loja 360,Tóquio,Japão,Outros
361,Loja 361,Sydney,Peru,Outros
362,Loja 362,Los Angeles,México,Norte
363,Loja 363,Cairo,Argentina,Outros
364,Loja 364,Bagdá,Argentina,Outros
365,Loja 365,Jerusalém,Portugal,Outros
366,Loja 366,Dakar,Itália,Outros
367,Loja 367,Berlim,Chile,Outros
368,Loja 368,Jacarta,Turquia,Outros
369,Loja 369,Seul,Argentina,Outros
370,Loja 370,Lagos,Japão,Outros
371,Loja 371,Bangkok,Brasil,Centro-Oeste
372,Loja 372,Jerusalém,Japão,Outros
373,Loja 373,Islamabad,Brasil,Sudeste
374,Loja 374,Amã,Portugal,Outros
375,Loja 375,Lagos,Japão,Outros
376,Loja 376,Jacarta,Espanha,Outros
377,Loja 377,Katmandu,Portugal,Outros
378,Loja 378,Tóquio,Brasil,Sudeste
379,Loja 379,Tóquio,Coreia do Sul,Outros
380,Loja 380,Dubai,Itália,Outros
381,Loja 381,Manila,Coreia do Sul,Outros
382,Loja 382,Seul,Itália,Outros
383,Loja 383,Berlim,Austrália,Outros
384,Loja 384,Manila,Alemanha,Outros
385,Loja 385,Bogotá,Espanha,Outros
386,Loja 386,Nairobi,Reino Unido,Outros
387,Loja 387,Nova Deli,Chile,Outros
388,Loja 388,Bogotá,Japão,Outros
389,Loja 389,Bogotá,Índia,Outros
390,Loja 390,Argel,Estados Unidos,Meio-Oeste
391,Loja 391,Argel,França,Outros
392,Loja 392,Londres,Austrália,Outros
393,Loja 393,Nairobi,Austrália,Outros
394,Loja 394,Sydney,Brasil,Nordeste
395,Loja 395,Seul,França,Outros
396,Loja 396,Mumbai,Índia,Outros
397,Loja 397,Riyadh,Chile,Outros
398,Loja 398,Lima,México,Norte
399,Loja 399,Kyoto,Reino Unido,Outros
400,Loja 400,Sydney,Coreia do Sul,Outros
401,Loja 401,Nova Deli,Rússia,Outros
402,Loja 402,Tóquio,Alemanha,Outros
403,Loja 403,Seul,China,Outros
404,Loja 404,Cairo,Peru,Outros
405,Loja 405,Abu Dhabi,Estados Unidos,Noroeste do Pacífico
406,Loja 406,Dhaka,Austrália,Outros
407,Loja 407,Teerã,Espanha,Outros
408,Loja 408,Doha,França,Outros
409,Loja 409,Seul,Índia,Outros
410,Loja 410,Tóquio,Reino Unido,Outros
411,Loja 411,Argel,Itália,Outros
412,Loja 412,Teerã,Argentina,Outros
413,Loja 413,Damasco,Canadá,Quebec
414,Loja 414,Paris,Coreia do Sul,Outros
415,Loja 415,Paris,Turquia,Outros
416,Loja 416,Argel,Coreia do Sul,Outros
417,Loja 417,Doha,Peru,Outros
418,Loja 418,Amã,Peru,Outros
419,Loja 419,Tóquio,Alemanha,Outros
420,Loja 420,Lagos,Índia,Outros
421,Loja 421,Nairobi,Portugal,Outros
422,Loja 422,Túnis,França,Outros
423,Loja 423,Casablanca,Peru,Outros
424,Loja 424,Cairo,Chile,Outros
425,Loja 425,Doha,México,Norte
426,Loja 426,Amã,Peru,Outros
427,Loja 427,Sydney,México,Norte
428,Loja 428,Jacarta,Canadá,Manitoba
429,Loja 429,Cairo,Japão,Outros
430,Loja 430,Damasco,Itália,Outros
431,Loja 431,Bangkok,Brasil,Sul
432,Loja 432,Mumbai,Itália,Outros
433,Loja 433,Buenos Aires,Alemanha,Outros
434,Loja 434,Dakar,Peru,Outros
435,Loja 435,Tóquio,Rússia,Outros
436,Loja 436,Cairo,França,Outros
437,Loja 437,Hong Kong,China,Outros
438,Loja 438,Nairobi,Espanha,Outros
439,Loja 439,Kuala Lumpur,França,Outros
440,Loja 440,Cairo,Estados Unidos,Meio-Oeste
441,Loja 441,Paris,Canadá,Ontário
442,Loja 442,Abu Dhabi,Japão,Outros
443,Loja 443,Bangkok,China,Outros
444,Loja 444,Nova York,Portugal,Outros
445,Loja 445,Madri,Turquia,Outros
446,Loja 446,Túnis,Turquia,Outros
447,Loja 447,Bangkok,China,Outros
448,Loja 448,Bogotá,Japão,Outros
449,Loja 449,Bagdá,Brasil,Sudeste
450,Loja 450,Kuala Lumpur,Índia,Outros
451,Loja 451,Buenos Aires,Coreia do Sul,Outros
452,Loja 452,Hong Kong,Turquia,Outros
453,Loja 453,Teerã,Japão,Outros
454,Loja 454,Manila,Turquia,Outros
455,Loja 455,Argel,Rússia,Outros
456,Loja 456,Berlim,México,Norte
457,Loja 457,Kinshasa,Portugal,Outros
458,Loja 458,Beirute,Estados Unidos,Meio-Oeste
459,Loja 459,Cabul,Turquia,Outros
460,Loja 460,São Paulo,Índia,Outros
461,Loja 461,Buenos Aires,Japão,Outros
462,Loja 462,Johannesburg,Coreia do Sul,Outros
463,Loja 463,Lagos,Alemanha,Outros
464,Loja 464,Los Angeles,França,Outros
465,Loja 465,Trípoli,Portugal,Outros
466,Loja 466,Lagos,Argentina,Outros
467,Loja 467,Kinshasa,Chile,Outros
468,Loja 468,Nova Deli,Rússia,Outros
469,Loja 469,Jerusalém,Brasil,Norte
470,Loja 470,Jerusalém,Canadá,Quebec
471,Loja 471,Cairo,Alemanha,Outros
472,Loja 472,Pequim,França,Outros
473,Loja 473,Moscou,Alemanha,Outros
474,Loja 474,Sydney,Chile,Outros
475,Loja 475,Nairobi,Peru,Outros
476,Loja 476,Islamabad,Rússia,Outros
477,Loja 477,Madri,Alemanha,Outros
478,Loja 478,Katmandu,Argentina,Outros
479,Loja 479,Cidade do México,Espanha,Outros
480,Loja 480,Buenos Aires,Argentina,Outros
481,Loja 481,Berlim,Itália,Outros
482,Loja 482,Tóquio,Argentina,Outros
483,Loja 483,Berlim,Índia,Outros
484,Loja 484,Osaka,Brasil,Sul
485,Loja 485,Casablanca,Rússia,Outros
486,Loja 486,Seul,Austrália,Outros
487,Loja 487,Bangkok,Austrália,Outros
488,Loja 488,Phnom Penh,Argentina,Outros
489,Loja 489,Seul,Alemanha,Outros
490,Loja 490,Argel,Rússia,Outros
491,Loja 491,Nova Deli,Índia,Outros
492,Loja 492,Cairo,Peru,Outros
493,Loja 493,Cingapura,Coreia do Sul,Outros
494,Loja 494,Seul,México,Sudeste
495,Loja 495,Manila,Japão,Outros
496,Loja 496,Hong Kong,Canadá,Ontário
497,Loja 497,Manila,Reino Unido,Outros
498,Loja 498,Damasco,Rússia,Outros
499,Loja 499,Yangon,Índia,Outros
500,Loja 500,Jacarta,Japão,Outros
501,Loja 501,Bogotá,Canadá,Colúmbia Britânica
502,Loja 502,Bogotá,Brasil,Norte
503,Loja 503,Casablanca,Estados Unidos,Noroeste do Pacífico
504,Loja 504,Toronto,Argentina,Outros
505,Loja 505,São Paulo,Estados Unidos,Noroeste do Pacífico
506,Loja 506,Buenos Aires,Estados Unidos,Meio-Oeste
507,Loja 507,Dubai,Rússia,Outros
508,Loja 508,Nova Deli,Argentina,Outros
509,Loja 509,Osaka,Austrália,Outros
510,Loja 510,Jerusalém,Canadá,Ontário
511,Loja 511,São Paulo,Estados Unidos,Oeste
512,Loja 512,Tóquio,Canadá,Ontário
513,Loja 513,Túnis,Brasil,Sudeste
514,Loja 514,Jerusalém,Argentina,Outros
515,Loja 515,Jerusalém,Rússia,Outros
516,Loja 516,Seul,Portugal,Outros
517,Loja 517,Trípoli,Peru,Outros
518,Loja 518,Doha,Turquia,Outros
519,Loja 519,Istambul,Japão,Outros
520,Loja 520,Nova Deli,México,Sudeste
521,Loja 521,Hanói,Alemanha,Outros
522,Loja 522,Bogotá,Portugal,Outros
523,Loja 523,Katmandu,Peru,Outros
524,Loja 524,Yangon,Espanha,Outros
525,Loja 525,Nova Deli,Canadá,Quebec
526,Loja 526,Osaka,Estados Unidos,Meio-Oeste
527,Loja 527,Moscou,França,Outros
528,Loja 528,Londres,Coreia do Sul,Outros
529,Loja 529,Beirute,Austrália,Outros
530,Loja 530,Abu Dhabi,Argentina,Outros
531,Loja 531,Bogotá,Alemanha,Outros
532,Loja 532,Doha,Chile,Outros
533,Loja 533,Mumbai,Turquia,Outros
534,Loja 534,Phnom Penh,Chile,Outros
535,Loja 535,Moscou,Japão,Outros
536,Loja 536,Osaka,Turquia,Outros
537,Loja 537,São Paulo,Rússia,Outros
538,Loja 538,Santiago,Espanha,Outros
539,Loja 539,Berlim,Estados Unidos,Sul
540,Loja 540,Sydney,Peru,Outros
541,Loja 541,Yangon,China,Outros
542,Loja 542,Sydney,Estados Unidos,Meio-Oeste
543,Loja 543,Moscou,Brasil,Sudeste
544,Loja 544,Nova York,França,Outros
545,Loja 545,Santiago,Estados Unidos,Nordeste
546,Loja 546,Cairo,Japão,Outros
547,Loja 547,Abu Dhabi,China,Outros
548,Loja 548,Hanói,Espanha,Outros
549,Loja 549,Dubai,Canadá,Quebec
550,Loja 550,Manila,Austrália,Outros
551,Loja 551,Osaka,Índia,Outros
552,Loja 552,Cairo,Peru,Outros
553,Loja 553,Osaka,Reino Unido,Outros
554,Loja 554,Amã,Alemanha,Outros
555,Loja 555,Kinshasa,Rússia,Outros
556,Loja 556,Dakar,Portugal,Outros
557,Loja 557,Túnis,México,Sul
558,Loja 558,Argel,Estados Unidos,Nordeste
559,Loja 559,Moscou,Rússia,Outros
560,Loja 560,Túnis,Turquia,Outros
561,Loja 561,Teerã,Portugal,Outros
562,Loja 562,Nova Deli,Reino Unido,Outros
563,Loja 563,Jacarta,Austrália,Outros
564,Loja 564,Rio de Janeiro,China,Outros
565,Loja 565,Tóquio,Austrália,Outros
566,Loja 566,Amã,Japão,Outros
567,Loja 567,Colombo,Brasil,Norte
568,Loja 568,Rio de Janeiro,Brasil,Sudeste
569,Loja 569,Cingapura,Austrália,Outros
570,Loja 570,Osaka,Portugal,Outros
571,Loja 571,Cairo,Portugal,Outros
572,Loja 572,Nova Deli,Peru,Outros
573,Loja 573,Johannesburg,Chile,Outros
574,Loja 574,Moscou,Reino Unido,Outros
575,Loja 575,Dakar,Chile,Outros
576,Loja 576,Trípoli,China,Outros
577,Loja 577,Seul,Reino Unido,Outros
578,Loja 578,Bagdá,Itália,Outros
579,Loja 579,Seul,Rússia,Outros
580,Loja 580,Colombo,Portugal,Outros
581,Loja 581,Colombo,Espanha,Outros
582,Loja 582,Jacarta,Estados Unidos,Meio-Oeste
583,Loja 583,Tóquio,Portugal,Outros
584,Loja 584,Cidade do México,Austrália,Outros
585,Loja 585,Dakar,Peru,Outros
586,Loja 586,Taipei,Itália,Outros
587,Loja 587,Hong Kong,China,Outros
588,Loja 588,Casablanca,Rússia,Outros
589,Loja 589,Buenos Aires,França,Outros
590,Loja 590,Seul,Turquia,Outros
591,Loja 591,Cabul,Austrália,Outros
592,Loja 592,Berlim,Turquia,Outros
593,Loja 593,Londres,Chile,Outros
594,Loja 594,Moscou,Rússia,Outros
595,Loja 595,Yangon,Argentina,Outros
596,Loja 596,Roma,Estados Unidos,Oeste
597,Loja 597,Toronto,China,Outros
598,Loja 598,Cingapura,China,Outros
599,Loja 599,Taipei,Argentina,Outros
600,Loja 600,Istambul,França,Outros
601,Loja 601,Trípoli,Portugal,Outros
602,Loja 602,Tóquio,Portugal,Outros
603,Loja 603,Doha,Estados Unidos,Meio-Oeste
604,Loja 604,Dubai,Argentina,Outros
605,Loja 605,Phnom Penh,Estados Unidos,Sul
606,Loja 606,Hanói,México,Centro
607,Loja 607,Tóquio,Estados Unidos,Meio-Oeste
